Old Station Code,Station Code,Station Name
Angol,ANGOL,Angol
Concepcion,CONCEPCION CENTRO,Concepción Centro
Constitucion,CONSTITUCION,Constitución
Copiapo,COPIAPO,Copiapó
Curico,CURICO,Curicó
Hualane,HUALANE,Hualañé
Llolleo,LLOLLEO,Llolleo
Matanzas,MATANZAS,Matanzas
Papudo,PAPUDO,Papudo
SantiagoCentro,SANTIAGO CENTRO,Santiago Centro
SantiagoLaFlorida,SANTIAGO LA FLORIDA,Santiago La Florida
SantiagoMaipu,SANTIAGO MAIPU,Santiago Maipú
SantiagoPenalolen,SANTIAGO PENALOLEN,Santiago Peñalolén
SantiagoPuenteAlto,SANTIAGO PUENTE ALTO,Santiago Puente Alto
Talca,TALCA,Talca
Valdivia,VALDIVIA,Valdivia
Vallenar,VALLENAR,Vallenar
ValparaisoAlmendral,VALPARAISO ALMENDRAL,Valparaíso Almendral
ValparaisoUTFSM,VALPARAISO UTFSM,Valparaíso UTFSM
VinadelMarCentro,VINA DEL MAR CENTRO,Viña del Mar Centro
VinadelMarElSalto,VINA DEL MAR EL SALTO,Viña del Mar El Salto
