CodeSta,Latitude,Longitude,Altitude,StaName,SensorType,Network,Geology,MeasuredVs30,Vs30_fCSN,f0_HVSR,A0_HVSR,f0_fCSN,TypeCurveHVSR,InfVs30_HVSR,TopographicSlope,InfVs30_TopoSlope,InfVs30_Vp,InferedVs30,PreferedVs30,uncertainty_Vs30,IDPreferedVs30,Kappa0,Channels,OrientationCH1,OrientationCH2,OrientationCH3
A01C,-27.0705,-70.8268,36,"ESTADIO MUNICIPAL DE CALDERA","Episensor FBA - Basalt Serial 1458",CSN,Pl1m,749,749,7.6,2.39375235999407,,flat,703,0.0243554514058131,361,986,700.810548651106,749,-999,1,-999,"",-999,-999,-999
A01F,-23.6397514343,-70.3958053589,6,"SERVIU ANTOFAGASTA","Episensor FBA - Basalt Serial 1494",CSN,Pl1m,-999,-999,3.1,1.50202616009466,,flat,416,0.107624182883508,550,1273,866.033040315247,762,0.387667502106948,2,-999,"",-999,-999,-999
A01P,-18.2186,-69.3214,0,"RETEN CHUCUYO","Episensor FBA - Basalt Serial 1503",CSN,Q3av,-999,-999,0.433333333333333,3.52666910282072,,peak,150,0.103341480987661,541,177,315.18490451652,260,0.387667502106948,2,-999,"",-999,-999,-999
A01Y,-44.7277,-72.6831,90,"TENENCIA PUERTO CISNES","Episensor FBA - Basalt Serial 1260",CSN,Mg,269,248,0.5,5.35420488031926,0.52 [Hz],peak,150,0.0482437265315532,417,145,251.922097605335,269,-999,1,-999,"",-999,-999,-999
A02C,-27.1038,-70.8493,20,"CAMPING CORFO","Episensor FBA - Basalt Serial 1294",CSN,Jig,-999,-999,3.13333333333333,1.43991451763931,,flat,421,0.0487188048603739,418,1130,748.861473173689,678,0.387667502106948,2,-999,"",-999,-999,-999
A02F,-23.1013450623,-70.4450759888,15,"TENENCIA MEJILLONES","Episensor FBA - Basalt Serial 1299",CSN,Pl1m,-999,-999,0.166666666666667,3.28970780804047,,peak,150,0.0239351259911201,360,288,296.031524704456,254,0.387667502106948,2,-999,"",-999,-999,-999
A02P,-17.5951,-69.4767,0,"TENENCIA VISVIRI","Episensor FBA - Basalt Serial 1489",CSN,PPl1l,-999,-999,0.2,4.74773566989715,,peak,150,0.0678323105247187,462,309,345.600181873295,288,0.387667502106948,2,-999,"",-999,-999,-999
A02Y,-45.3964,-72.6812,8,"REGIMIENTO DE INGENIEROS N°8","Episensor FBA - Basalt Serial 1187",CSN,Q1,-999,-999,0.233333333333333,5.28012122260422,,peak,150,0,100,1940,961.182176417096,788,0.387667502106948,2,-999,"",-999,-999,-999
A03C,-27.2616,-70.7736,205,"AEROPUERTO DESIERTO DE ATACAMA","Episensor FBA - Basalt Serial 1052",CSN,Pl1m,762,648,4.33333333333333,2.39051149414216,6.71 [Hz],peak,554,0.0487564103932622,418,1003,676.95656273573,762,-999,1,0.0279094041856608,"",-999,-999,-999
A03F,-23.4532241821,-70.4405899048,113,"AEROPUERTO CERRO MORENO","Episensor FBA - Basalt Serial 1178",CSN,Qa,-999,-999,5.66666666666667,3.20475049175466,,peak,635,0.0325055279323572,380,1267,791.965929092281,799,0.237400492741652,2,-999,"",-999,-999,-999
