Fecha (UTC),Latitud,Longitud,Profundidad [km],Magnitud [*],Estaciones,Identificador
1994-05-01 04:00:00,,,,,Cuya,9405001
1994-05-02 04:00:00,,,,,Cuya,9405002
1994-11-01 03:00:00,,,,,AricaCostanera,9411000
1995-07-01 04:00:00,-33.932,-72.397,36,5,Illapel,9507000
1995-07-30 05:11:21,-23.34,-70.36,33,7.8,Tocopilla,9507301
1995-11-01 03:00:00,,,,,Illapel,9511001
1995-11-02 03:00:00,,,,,Illapel,9511002
1996-02-22 13:50:55,-33.38,-71.36,46,5.9,Llolleo; SantiagoCentro,9602221
1996-04-01 04:00:00,,,,,Tocopilla,9604000
1997-02-01 03:00:00,,,,,AricaCostanera,9702000
1997-03-25 00:14:46,-33.28,-70.47,80,5.3,SantiagoCentro,9703241
1997-04-01 04:00:00,,,,,Llolleo; Illapel,9704001
1997-04-01 18:33:31,-18.12,-69.49,125,6.2,AricaCementerio; Putre,9704011
1997-10-15 01:03:30,-30.44,-71.19,55,6.8,Illapel; Papudo; SantiagoCentro,9710141
1997-10-22 06:27:00,,,,4.6,Illapel,9710221
1997-11-03 19:17:28,,,,6.4,Illapel,9711031
1998-01-30 12:16:09,-23.3,-69.49,44,6.3,Antofagasta,9801301
1998-02-01 03:00:00,,,,,Cuya,9802000
1998-04-17 19:48:53,-32.47,-71.31,36,5.1,Papudo,9804171
1998-07-29 07:14:24,-32.22,-71.27,36,6.2,Llolleo,9807291
1998-10-29 19:55:56,-32.52,-70.39,89,5,VinadelMarElSaltoCerro,9810291
1998-12-01 03:00:00,,,,,Papudo,9812000
1999-01-01 03:00:00,,,,,LaSerena,9901000
1999-02-06 06:37:15,-22.2,-69.54,51,5.4,Tocopilla,9902061
1999-08-02 01:06:39,-33.07,-70.21,98,5.1,SantiagoLaFlorida,9908011
1999-11-04 05:38:57,-32.41,-71.42,30,4.7,VinadelMarElSaltoCerro,9911041
1999-11-30 04:01:53,-18.46,-69.02,128,6.6,Arica; AricaCementerio; AricaCostanera,9911301
2000-06-16 07:55:56,-33.53,-70.13,112,6.4,Llolleo; Papudo; SantiagoLaFlorida,0006161
2000-08-11 14:31:12,,,,5.2,Arica,0008111
2001-02-01 03:00:00,-32.57,-70.2,106,4.4,Cuya,0102000
2001-06-23 20:33:15,-16.265,-73.641,33.0,8.4,Arica; AricaCementerio; AricaCostanera; Poconchile; Putre; Pisagua; Cuya,0106231
2001-07-01 04:00:00,,,,,AricaCementerio,0107000
2001-07-07 09:38:50,-17.54,-72.08,33,7.6,AricaChacalluta,0107071
2001-07-24 05:00:02,-32.56,-71.34,41,6.1,AricaChacalluta; Iquique; Pica,0107241
2001-07-24 17:42:41,-32.51,-71.46,53,5.1,VinadelMarElSaltoCerro,0107242
2001-08-09 03:33:43,,,,5.6,AricaChacalluta,0108081
2001-09-01 04:00:00,,,,,Papudo; Illapel,0109003
2001-11-28 10:54:31,-32.43,-71.44,29,4.6,VinadelMarElSaltoCerro,0111281
